,region_code,okato,id,year,e1,e2,e3,e4,e5,e6,e8,ege_budg,wos,scopus,rsci,rnd,total_income,square,phd_share,pps,rnd_private,pk
e8,0.00015447153162722414,-0.014403947848425412,-0.023409442453675194,0.0704304160635489,0.23233623581072999,-0.00018278356760194486,0.11803536993648044,0.0029518507954292205,0.010210951268844456,0.014240808100698873,1.0,0.1578586530128334,-0.10059849229570665,-0.10920096472807529,-0.19464542866709922,-0.13161469606357637,-0.1088060586284013,-0.17264894631203237,-0.2519980235140003,-0.17502381125258007,-0.1643106667422389,-0.2815630061016341
ege_budg,0.19674924024958867,-0.01619665687553627,-0.26841817356316017,0.061702327774588485,0.7894457916507894,-0.08297607245814737,0.1722962247458012,-0.11188668552199092,0.04793262042337634,0.09933617999389617,0.1578586530128334,1.0,0.20619342379566552,0.21585419347869544,0.2061718103051649,0.19916826213115382,0.26435437673598206,0.2368007406273027,-0.01704486144660607,0.3008507273414183,0.1696757502596086,0.29233336229018236
wos,0.11280295541433438,0.015725481624704548,-0.066853551978546,0.13898836836071243,0.19829455054759884,0.01661598023550017,0.1629974447139101,0.009083941418121211,0.1794555213733283,-0.028897361543843245,-0.10059849229570665,0.20619342379566552,1.0,0.9727644840756221,0.4983728863854086,0.707394776800167,0.6661029042750067,0.6431628426765978,0.0762923931940814,0.6455079364194475,0.5779785699058767,0.5459187586173206
scopus,0.1113720444802632,0.01562316179862179,-0.07955484700877725,0.13006671347858126,0.20353261626221564,0.016970805358522693,0.16471397329278292,0.008774230178575752,0.18574593916612114,-0.031151147514933544,-0.10920096472807529,0.21585419347869544,0.9727644840756221,1.0,0.5261511583049526,0.7411712282178331,0.7021802667733341,0.6818647058232733,0.08738556386664341,0.6884178730091159,0.6183491240726122,0.5909816119435805
rsci,0.03511278458097719,-0.008724999465164158,-0.14523205592050614,0.25330458981373055,0.11754240931743686,0.007725760299639576,0.12008285751914395,-0.0012938496173871877,0.28607843264020166,-0.11337927348122218,-0.19464542866709922,0.2061718103051649,0.4983728863854086,0.5261511583049526,1.0,0.4255874048475012,0.5562796212904412,0.5874475360634966,0.24023396466216776,0.6531991886526837,0.4264444892369969,0.6904568522843549
rnd,0.18117279076195272,0.005343278924579281,-0.07030386258489248,0.03049540060211167,0.1753350994379708,0.21950481694849822,0.09265462149453378,0.1264103785829289,0.11665339671824383,0.016106907297557826,-0.13161469606357637,0.19916826213115382,0.707394776800167,0.7411712282178331,0.4255874048475012,1.0,0.7971144018888063,0.6845193379929181,0.06972393979243292,0.6602814167413208,0.8191952859131783,0.5898652122086154
total_income,0.18357803709034562,-0.018035452820555496,-0.12176629576009602,0.04047868902852811,0.19029627415509628,0.05565392077760317,0.1160736828316436,0.27951177632475543,0.10418972026543152,-0.01909759356563693,-0.1088060586284013,0.26435437673598206,0.6661029042750067,0.7021802667733341,0.5562796212904412,0.7971144018888063,1.0,0.8098003500729419,0.11692230343097179,0.8056782535285594,0.6477982867871245,0.7526996189846157
square,0.06849221431643594,-0.009379231892640885,-0.1966870824773407,0.021550004703148447,0.13307799707187398,0.006789327280631325,0.08962268675254628,-0.005712115179070219,0.0946504021423228,-0.0029009926979800304,-0.17264894631203237,0.2368007406273027,0.6431628426765978,0.6818647058232733,0.5874475360634966,0.6845193379929181,0.8098003500729419,1.0,0.22485583782942764,0.8957034711054551,0.5918860790032282,0.8301721382499482
phd_share,-0.08885564234969254,-0.01714673339096499,-0.09016962877297652,0.11762533388781458,-0.2035540670904943,0.015177554394968056,-0.010352158266121726,0.03214410064020578,0.18280766043063837,-0.05873518131190124,-0.2519980235140003,-0.01704486144660607,0.0762923931940814,0.08738556386664341,0.24023396466216776,0.06972393979243292,0.11692230343097179,0.22485583782942764,1.0,0.19986088833552634,0.09280331341691574,0.2523219060601329
pps,0.0886186785575935,-0.005336759895020996,-0.19834441078706389,-0.021540959193733732,0.19372066563185683,-0.016780167206987547,0.11261498321908434,-0.023151309583472966,0.046712069875411245,0.03395337930213029,-0.17502381125258007,0.3008507273414183,0.6455079364194475,0.6884178730091159,0.6531991886526837,0.6602814167413208,0.8056782535285594,0.8957034711054551,0.19986088833552634,1.0,0.5685717025305146,0.9259866853362434
rnd_private,0.16189861614761536,-0.0012639679732165449,-0.11145963572302738,0.10677293106472113,0.13367917525213527,0.185943177761377,0.11996825448171664,0.11033735851954833,0.18781790890872802,-0.004536341223573927,-0.1643106667422389,0.1696757502596086,0.5779785699058767,0.6183491240726122,0.4264444892369969,0.8191952859131783,0.6477982867871245,0.5918860790032282,0.09280331341691574,0.5685717025305146,1.0,0.5681305789636351
pk,0.059297869110920644,-0.0037971497964769106,-0.2251735291723514,0.017723709011655844,0.14630973490729404,-0.01916549000876105,0.09334475622825253,-0.025709266690384987,0.10277757290523595,0.021654411510254986,-0.2815630061016341,0.29233336229018236,0.5459187586173206,0.5909816119435805,0.6904568522843549,0.5898652122086154,0.7526996189846157,0.8301721382499482,0.2523219060601329,0.9259866853362434,0.5681305789636351,1.0
